{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.38, 'datetime': '2018-11-26 12:40:54.727259', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.18, 'compass': -38.39, 'pitch': 1.99, 'roll': -5.6}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.37, 'datetime': '2018-11-26 12:40:54.935855', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.38, 'compass': -38.37, 'pitch': 1.84, 'roll': -5.78}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.33, 'datetime': '2018-11-26 12:40:55.143855', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.59, 'compass': -38.33, 'pitch': 1.46, 'roll': -5.8}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.28, 'datetime': '2018-11-26 12:40:55.351955', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.8, 'compass': -38.29, 'pitch': 1.01, 'roll': -5.48}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.24, 'datetime': '2018-11-26 12:40:55.562325', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.01, 'compass': -38.25, 'pitch': 0.63, 'roll': -5.26}
{'lipoC2': 7.42, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.23, 'datetime': '2018-11-26 12:40:55.771664', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.22, 'compass': -38.23, 'pitch': 0.37, 'roll': -5.32}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.22, 'datetime': '2018-11-26 12:40:55.980035', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.43, 'compass': -38.22, 'pitch': 0.33, 'roll': -5.41}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.22, 'datetime': '2018-11-26 12:40:56.192357', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.64, 'compass': -38.22, 'pitch': 0.35, 'roll': -5.41}
{'lipoC2': 7.41, 'temp': 30.38, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.25, 'datetime': '2018-11-26 12:40:56.397764', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.85, 'compass': -38.25, 'pitch': 0.61, 'roll': -5.4}
{'lipoC2': 7.41, 'temp': 30.38, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.28, 'datetime': '2018-11-26 12:40:56.606701', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.06, 'compass': -38.29, 'pitch': 1.01, 'roll': -5.46}
{'lipoC2': 7.41, 'temp': 30.19, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.32, 'datetime': '2018-11-26 12:40:56.814740', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.27, 'compass': -38.32, 'pitch': 1.33, 'roll': -5.52}
{'lipoC2': 7.42, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.33, 'datetime': '2018-11-26 12:40:57.025309', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.47, 'compass': -38.34, 'pitch': 1.52, 'roll': -5.53}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.34, 'datetime': '2018-11-26 12:40:57.234284', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.68, 'compass': -38.34, 'pitch': 1.54, 'roll': -5.52}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.34, 'datetime': '2018-11-26 12:40:57.441871', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.89, 'compass': -38.34, 'pitch': 1.5, 'roll': -5.36}
{'lipoC2': 7.42, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.31, 'datetime': '2018-11-26 12:40:57.651471', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.1, 'compass': -38.32, 'pitch': 1.26, 'roll': -5.24}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.27, 'datetime': '2018-11-26 12:40:57.858580', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.31, 'compass': -38.27, 'pitch': 0.88, 'roll': -5.29}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -4.24, 'datetime': '2018-11-26 12:40:58.067379', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.52, 'compass': -38.24, 'pitch': 0.5, 'roll': -5.29}
{'lipoC2': 7.41, 'temp': 30.13, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.22, 'datetime': '2018-11-26 12:40:58.275220', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.73, 'compass': -38.22, 'pitch': 0.27, 'roll': -5.15}
{'lipoC2': 7.41, 'temp': 30.44, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.22, 'datetime': '2018-11-26 12:40:58.485246', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.94, 'compass': -38.22, 'pitch': 0.24, 'roll': -5.16}
