{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 10.88, 'state': 'normal', 'rot1': 65, 'rot0': 65, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -26.57, 'datetime': '2018-12-12 14:49:04.960479', 'mgs': 0, 'flw2': 4.86, 'flw1': 0.0, 'flw0': 2.87, 'time': 12.71, 'compass': 56.11, 'pitch': 2.62, 'roll': -1.0}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 68, 'rot0': 67, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -24.95, 'datetime': '2018-12-12 14:49:05.170958', 'mgs': 0, 'flw2': 3.56, 'flw1': 0.0, 'flw0': 3.08, 'time': 12.91, 'compass': 57.73, 'pitch': 2.36, 'roll': -0.38}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 10.93, 'state': 'normal', 'rot1': 70, 'rot0': 70, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -23.55, 'datetime': '2018-12-12 14:49:05.377991', 'mgs': 0, 'flw2': 2.88, 'flw1': 0.0, 'flw0': 2.29, 'time': 13.12, 'compass': 59.13, 'pitch': 2.26, 'roll': -0.06}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.06, 'state': 'normal', 'rot1': 72, 'rot0': 72, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -22.51, 'datetime': '2018-12-12 14:49:05.592060', 'mgs': 0, 'flw2': 2.37, 'flw1': 0.0, 'flw0': 2.62, 'time': 13.33, 'compass': 60.17, 'pitch': 1.84, 'roll': -0.25}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 74, 'rot0': 75, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -21.69, 'datetime': '2018-12-12 14:49:05.798219', 'mgs': 0, 'flw2': 2.38, 'flw1': 0.0, 'flw0': 2.5, 'time': 13.54, 'compass': 60.99, 'pitch': 1.55, 'roll': -0.8}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 10.93, 'state': 'normal', 'rot1': 76, 'rot0': 77, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -20.91, 'datetime': '2018-12-12 14:49:06.007109', 'mgs': 0, 'flw2': 2.83, 'flw1': 0.0, 'flw0': 2.2, 'time': 13.75, 'compass': 61.77, 'pitch': 1.65, 'roll': -0.91}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 78, 'rot0': 79, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -20.01, 'datetime': '2018-12-12 14:49:06.218005', 'mgs': 0, 'flw2': 2.53, 'flw1': 0.62, 'flw0': 2.21, 'time': 13.96, 'compass': 62.67, 'pitch': 1.74, 'roll': -0.58}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 81, 'rot0': 81, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -19.07, 'datetime': '2018-12-12 14:49:06.425680', 'mgs': 0, 'flw2': 2.64, 'flw1': 0.0, 'flw0': 2.62, 'time': 14.17, 'compass': 63.61, 'pitch': 1.73, 'roll': -0.15}
{'lipoC2': 7.08, 'temp': 0.0, 'lipoC3S3': 10.85, 'state': 'normal', 'rot1': 83, 'rot0': 84, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -18.25, 'datetime': '2018-12-12 14:49:06.634295', 'mgs': 0, 'flw2': 2.87, 'flw1': 0.0, 'flw0': 2.34, 'time': 14.38, 'compass': 64.43, 'pitch': 1.85, 'roll': 0.24}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 10.94, 'state': 'normal', 'rot1': 85, 'rot0': 86, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': -17.47, 'datetime': '2018-12-12 14:49:06.842747', 'mgs': 0, 'flw2': 2.93, 'flw1': 0.0, 'flw0': 2.23, 'time': 14.58, 'compass': 65.21, 'pitch': 1.75, 'roll': 0.23}
