{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:25.823705', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.73, 'flw0': 0.0, 'time': 12.57, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:26.035373', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.78, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:26.240904', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.73, 'flw0': 0.0, 'time': 12.99, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:26.449786', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 13.2, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:26.655896', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 13.41, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:26.868507', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 13.61, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:27.072680', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 13.82, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:27.281308', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 14.03, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:27.488869', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 14.24, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:27.697201', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 14.44, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
