{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 97.1, 'datetime': '2018-12-18 17:13:30.871446', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.41, 'flw0': 0.0, 'time': 12.83, 'compass': 0.85, 'pitch': -1.14, 'roll': 3.36}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 98.25, 'datetime': '2018-12-18 17:13:31.082175', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 13.04, 'compass': 2.0, 'pitch': -1.05, 'roll': 3.38}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 99.3, 'datetime': '2018-12-18 17:13:31.289875', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.12, 'flw0': 0.0, 'time': 13.25, 'compass': 3.04, 'pitch': -1.16, 'roll': 3.4}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 100.35, 'datetime': '2018-12-18 17:13:31.497522', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 13.46, 'compass': 4.1, 'pitch': -1.32, 'roll': 3.42}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 101.39, 'datetime': '2018-12-18 17:13:31.705682', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 13.67, 'compass': 5.14, 'pitch': -1.23, 'roll': 3.44}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.67, 'state': 'normal', 'rot1': 54, 'rot0': 97, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 102.2, 'datetime': '2018-12-18 17:13:31.919252', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.23, 'flw0': 0.1, 'time': 13.88, 'compass': 5.95, 'pitch': -1.0, 'roll': 3.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.6, 'state': 'normal', 'rot1': 55, 'rot0': 98, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 102.08, 'datetime': '2018-12-18 17:13:32.126691', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.51, 'time': 14.09, 'compass': 5.83, 'pitch': -1.05, 'roll': 3.4}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.64, 'state': 'normal', 'rot1': 56, 'rot0': 99, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 101.17, 'datetime': '2018-12-18 17:13:32.332896', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.57, 'time': 14.3, 'compass': 4.92, 'pitch': -1.39, 'roll': 3.27}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 56, 'rot0': 100, 'rot3': 0, 'rot2': 0, 'depth': -2.2, 'yaw': 99.59, 'datetime': '2018-12-18 17:13:32.541851', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.09, 'time': 14.5, 'compass': 3.34, 'pitch': -1.56, 'roll': 3.16}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 57, 'rot0': 100, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 98.16, 'datetime': '2018-12-18 17:13:32.750077', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.71, 'compass': 1.91, 'pitch': -1.45, 'roll': 3.31}
