{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -93.77, 'datetime': '2018-12-12 14:15:41.565199', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.21, 'time': 13.04, 'compass': -8.25, 'pitch': -0.65, 'roll': -0.66}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 44, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -94.17, 'datetime': '2018-12-12 14:15:41.773711', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.63, 'time': 13.24, 'compass': -8.65, 'pitch': -1.22, 'roll': -0.66}
{'lipoC2': 7.51, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 45, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -93.79, 'datetime': '2018-12-12 14:15:41.985971', 'mgs': 0, 'flw2': 0.6, 'flw1': 0.0, 'flw0': 0.5, 'time': 13.45, 'compass': -8.27, 'pitch': -1.7, 'roll': 0.07}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -92.72, 'datetime': '2018-12-12 14:15:42.195701', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.0, 'time': 13.66, 'compass': -7.2, 'pitch': -1.36, 'roll': 0.94}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -91.63, 'datetime': '2018-12-12 14:15:42.402491', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.87, 'compass': -6.11, 'pitch': -0.83, 'roll': 1.17}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -90.68, 'datetime': '2018-12-12 14:15:42.611289', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 14.08, 'compass': -5.16, 'pitch': -0.9, 'roll': 0.71}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': -89.87, 'datetime': '2018-12-12 14:15:42.824316', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.29, 'compass': -4.35, 'pitch': -1.18, 'roll': 0.08}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -89.07, 'datetime': '2018-12-12 14:15:43.032300', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 14.5, 'compass': -3.55, 'pitch': -1.27, 'roll': -0.25}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -88.29, 'datetime': '2018-12-12 14:15:43.240851', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.7, 'compass': -2.76, 'pitch': -1.27, 'roll': 0.03}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 46, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': -87.56, 'datetime': '2018-12-12 14:15:43.449468', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.91, 'compass': -2.03, 'pitch': -1.03, 'roll': 0.47}
