{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': -149.24, 'datetime': '2018-12-12 14:38:22.995639', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.72, 'time': 12.95, 'compass': -8.78, 'pitch': -3.33, 'roll': -0.44}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 60, 'rot0': 50, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -149.48, 'datetime': '2018-12-12 14:38:23.206116', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.18, 'time': 13.16, 'compass': -9.02, 'pitch': -3.1, 'roll': -0.28}
{'lipoC2': 7.19, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 61, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -148.96, 'datetime': '2018-12-12 14:38:23.414336', 'mgs': 0, 'flw2': 0.39, 'flw1': 0.0, 'flw0': 0.55, 'time': 13.37, 'compass': -8.5, 'pitch': -3.63, 'roll': -0.21}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -147.73, 'datetime': '2018-12-12 14:38:23.624332', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.58, 'compass': -7.27, 'pitch': -3.92, 'roll': -0.14}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.58, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -146.59, 'datetime': '2018-12-12 14:38:23.834761', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.79, 'compass': -6.13, 'pitch': -3.44, 'roll': -0.3}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': -145.48, 'datetime': '2018-12-12 14:38:24.043591', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.0, 'compass': -5.02, 'pitch': -2.95, 'roll': -0.29}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.52, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -144.59, 'datetime': '2018-12-12 14:38:24.252677', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.21, 'compass': -4.13, 'pitch': -3.25, 'roll': -0.21}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -143.65, 'datetime': '2018-12-12 14:38:24.460770', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.56, 'flw0': 0.0, 'time': 14.42, 'compass': -3.19, 'pitch': -4.08, 'roll': 0.09}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.47, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -142.82, 'datetime': '2018-12-12 14:38:24.669988', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 14.63, 'compass': -2.36, 'pitch': -4.55, 'roll': 0.31}
{'lipoC2': 7.19, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 62, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -142.01, 'datetime': '2018-12-12 14:38:24.880032', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 14.83, 'compass': -1.55, 'pitch': -4.31, 'roll': 0.26}
