{'lipoC2': 8.28, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:11.230074', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.91, 'compass': -149.98, 'pitch': -1.08, 'roll': 3.19}
{'lipoC2': 8.15, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:11.437905', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.12, 'compass': -149.98, 'pitch': -0.5, 'roll': 3.2}
{'lipoC2': 8.2, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -8.58, 'datetime': '2018-12-12 10:35:11.647410', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.26, 'time': 13.33, 'compass': -149.98, 'pitch': -0.61, 'roll': 3.12}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:11.856893', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.0, 'time': 13.54, 'compass': -149.98, 'pitch': -0.68, 'roll': 2.91}
{'lipoC2': 8.19, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:12.065134', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.75, 'compass': -149.98, 'pitch': -0.56, 'roll': 2.82}
{'lipoC2': 8.15, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:12.273525', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 13.96, 'compass': -149.98, 'pitch': -0.87, 'roll': 2.82}
{'lipoC2': 8.36, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:12.480286', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.16, 'compass': -149.98, 'pitch': -1.18, 'roll': 2.81}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:12.690514', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.37, 'compass': -149.98, 'pitch': -1.19, 'roll': 2.82}
{'lipoC2': 8.19, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -8.58, 'datetime': '2018-12-12 10:35:12.899808', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.58, 'compass': -149.99, 'pitch': -1.51, 'roll': 2.97}
{'lipoC2': 8.39, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -8.59, 'datetime': '2018-12-12 10:35:13.107085', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.26, 'time': 14.79, 'compass': -149.99, 'pitch': -1.75, 'roll': 3.18}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -8.59, 'datetime': '2018-12-12 10:35:13.316627', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 15.0, 'compass': -149.99, 'pitch': -1.28, 'roll': 3.37}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -8.59, 'datetime': '2018-12-12 10:35:13.525600', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 15.21, 'compass': -150.0, 'pitch': -0.78, 'roll': 3.57}
