{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 10.88, 'state': 'normal', 'rot1': 131, 'rot0': 126, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -87.14, 'datetime': '2018-12-12 14:38:53.903535', 'mgs': 0, 'flw2': 4.52, 'flw1': 0.23, 'flw0': 4.0, 'time': 13.35, 'compass': -88.15, 'pitch': 4.21, 'roll': -0.39}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 134, 'rot0': 129, 'rot3': 0, 'rot2': 0, 'depth': 2.835, 'yaw': -87.32, 'datetime': '2018-12-12 14:38:54.113332', 'mgs': 0, 'flw2': 4.69, 'flw1': 0.0, 'flw0': 3.66, 'time': 13.56, 'compass': -88.33, 'pitch': 4.18, 'roll': -0.85}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 137, 'rot0': 132, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -86.11, 'datetime': '2018-12-12 14:38:54.324301', 'mgs': 0, 'flw2': 4.33, 'flw1': 0.0, 'flw0': 4.02, 'time': 13.77, 'compass': -87.12, 'pitch': 4.17, 'roll': -0.95}
{'lipoC2': 7.24, 'temp': 0.0, 'lipoC3S3': 11.43, 'state': 'normal', 'rot1': 140, 'rot0': 136, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -84.25, 'datetime': '2018-12-12 14:38:54.535042', 'mgs': 0, 'flw2': 4.3, 'flw1': 0.0, 'flw0': 3.54, 'time': 13.98, 'compass': -85.25, 'pitch': 4.16, 'roll': -0.79}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 142, 'rot0': 139, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -82.17, 'datetime': '2018-12-12 14:38:54.744173', 'mgs': 0, 'flw2': 4.1, 'flw1': 0.0, 'flw0': 3.82, 'time': 14.18, 'compass': -83.18, 'pitch': 3.92, 'roll': -0.2}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.03, 'state': 'normal', 'rot1': 145, 'rot0': 142, 'rot3': 0, 'rot2': 0, 'depth': 2.377, 'yaw': -80.05, 'datetime': '2018-12-12 14:38:54.953590', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.0, 'flw0': 4.88, 'time': 14.39, 'compass': -81.06, 'pitch': 4.1, 'roll': 0.53}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 10.86, 'state': 'normal', 'rot1': 148, 'rot0': 144, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -79.41, 'datetime': '2018-12-12 14:38:55.161757', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.0, 'flw0': 4.97, 'time': 14.6, 'compass': -80.42, 'pitch': 4.48, 'roll': 0.67}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.06, 'state': 'normal', 'rot1': 151, 'rot0': 146, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -80.15, 'datetime': '2018-12-12 14:38:55.371691', 'mgs': 0, 'flw2': 2.4, 'flw1': 0.56, 'flw0': 4.97, 'time': 14.81, 'compass': -81.15, 'pitch': 4.26, 'roll': 0.26}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 154, 'rot0': 148, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -81.71, 'datetime': '2018-12-12 14:38:55.582461', 'mgs': 0, 'flw2': 2.53, 'flw1': 0.0, 'flw0': 4.93, 'time': 15.02, 'compass': -82.72, 'pitch': 3.82, 'roll': 0.05}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 10.92, 'state': 'normal', 'rot1': 157, 'rot0': 151, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -83.55, 'datetime': '2018-12-12 14:38:55.791320', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.0, 'flw0': 5.16, 'time': 15.23, 'compass': -84.55, 'pitch': 3.3, 'roll': -0.38}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 160, 'rot0': 153, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -85.89, 'datetime': '2018-12-12 14:38:56.000494', 'mgs': 0, 'flw2': 2.6, 'flw1': 0.41, 'flw0': 4.72, 'time': 15.44, 'compass': -86.9, 'pitch': 2.61, 'roll': -0.93}
