{'lipoC2': 0.18, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -81.13, 'datetime': '2018-12-18 20:46:26.611559', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.26, 'flw0': 0.02, 'time': 12.29, 'compass': -87.39, 'pitch': 0.86, 'roll': -0.53}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -80.88, 'datetime': '2018-12-18 20:46:26.820235', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.0, 'flw0': 0.12, 'time': 12.5, 'compass': -87.14, 'pitch': 1.0, 'roll': -0.4}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -80.83, 'datetime': '2018-12-18 20:46:27.029313', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.06, 'flw0': 0.18, 'time': 12.71, 'compass': -87.1, 'pitch': 1.08, 'roll': -0.52}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -80.84, 'datetime': '2018-12-18 20:46:27.237340', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.03, 'flw0': 0.0, 'time': 12.92, 'compass': -87.11, 'pitch': 1.01, 'roll': -0.71}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 36, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -80.84, 'datetime': '2018-12-18 20:46:27.449124', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.24, 'time': 13.13, 'compass': -87.11, 'pitch': 0.88, 'roll': -0.8}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 36, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -80.85, 'datetime': '2018-12-18 20:46:27.656307', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.34, 'compass': -87.11, 'pitch': 1.07, 'roll': -0.77}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 36, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -80.85, 'datetime': '2018-12-18 20:46:27.864527', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.54, 'compass': -87.12, 'pitch': 1.4, 'roll': -0.84}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 36, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -80.85, 'datetime': '2018-12-18 20:46:28.073175', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.09, 'flw0': 0.0, 'time': 13.75, 'compass': -87.12, 'pitch': 1.33, 'roll': -0.87}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 36, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -80.85, 'datetime': '2018-12-18 20:46:28.280945', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.35, 'flw0': 0.0, 'time': 13.96, 'compass': -87.12, 'pitch': 0.97, 'roll': -0.76}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 36, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -80.85, 'datetime': '2018-12-18 20:46:28.487595', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.38, 'flw0': 0.0, 'time': 14.17, 'compass': -87.11, 'pitch': 0.83, 'roll': -0.53}
