{'interval':0.1}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091440.579104}
{'dc_yr': -41, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091440.582675}
{'dc_yr': -41, 'dc_xl': 0, 'dc_yl': 41, 'dc_xr': 0, 'time': 1542091440.586575}
{'dc_yr': -41, 'dc_xl': 0, 'dc_yl': 41, 'dc_xr': 0, 'time': 1542091440.740699}
{'dc_yr': -41, 'dc_xl': 0, 'dc_yl': 41, 'dc_xr': 0, 'time': 1542091440.744467}
{'dc_yr': -20, 'dc_xl': 0, 'dc_yl': 41, 'dc_xr': 0, 'time': 1542091440.748018}
{'dc_yr': -20, 'dc_xl': 0, 'dc_yl': 20, 'dc_xr': 0, 'time': 1542091440.751528}
{'dc_yr': -20, 'dc_xl': 0, 'dc_yl': 20, 'dc_xr': 0, 'time': 1542091440.906224}
{'dc_yr': -20, 'dc_xl': 0, 'dc_yl': 20, 'dc_xr': 0, 'time': 1542091440.909991}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 20, 'dc_xr': 0, 'time': 1542091440.913562}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091440.9171}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091441.071863}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091441.075669}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091441.082695}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091441.08654}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091441.227745}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091441.230824}
{'dc_yr': 12, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091441.233947}
{'dc_yr': 12, 'dc_xl': 0, 'dc_yl': -12, 'dc_xr': 0, 'time': 1542091441.236888}
{'dc_yr': 12, 'dc_xl': 0, 'dc_yl': -12, 'dc_xr': 0, 'time': 1542091441.393174}
{'dc_yr': 12, 'dc_xl': 0, 'dc_yl': -12, 'dc_xr': 0, 'time': 1542091441.396251}
{'dc_yr': 39, 'dc_xl': 0, 'dc_yl': -12, 'dc_xr': 0, 'time': 1542091441.39927}
{'dc_yr': 39, 'dc_xl': 0, 'dc_yl': -39, 'dc_xr': 0, 'time': 1542091441.402177}
{'dc_yr': 39, 'dc_xl': 0, 'dc_yl': -39, 'dc_xr': 0, 'time': 1542091441.558677}
{'dc_yr': 39, 'dc_xl': 0, 'dc_yl': -39, 'dc_xr': 0, 'time': 1542091441.561712}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -39, 'dc_xr': 0, 'time': 1542091441.564788}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.567711}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.724004}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.727119}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.730031}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.733022}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.899083}
{'dc_yr': 44, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.903124}
{'dc_yr': 26, 'dc_xl': 0, 'dc_yl': -44, 'dc_xr': 0, 'time': 1542091441.906696}
{'dc_yr': 26, 'dc_xl': 0, 'dc_yl': -26, 'dc_xr': 0, 'time': 1542091441.910199}
{'dc_yr': 26, 'dc_xl': 0, 'dc_yl': -26, 'dc_xr': 0, 'time': 1542091442.064674}
{'dc_yr': 26, 'dc_xl': 0, 'dc_yl': -26, 'dc_xr': 0, 'time': 1542091442.068426}
{'dc_yr': 7, 'dc_xl': 0, 'dc_yl': -26, 'dc_xr': 0, 'time': 1542091442.07222}
