{'lipoC2': 7.85, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.420735', 'mgs': 0, 'depth': -0.446, 'time': 3.31, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.433733', 'mgs': 0, 'depth': -0.446, 'time': 3.4, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.441069', 'mgs': 0, 'depth': -0.522, 'time': 3.5, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.14, 'rot1': 4, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.454272', 'mgs': 0, 'depth': -0.446, 'time': 3.6, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.21, 'rot1': 10, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.467327', 'mgs': 0, 'depth': 0.317, 'time': 3.7, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.19, 'rot1': 16, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.513823', 'mgs': 0, 'depth': -0.446, 'time': 3.79, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.17, 'rot1': 23, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.610770', 'mgs': 0, 'depth': -0.446, 'time': 3.89, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.19, 'rot1': 30, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.708334', 'mgs': 0, 'depth': -0.446, 'time': 3.99, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.87, 'temp': 28.81, 'lipoC3S3': 12.19, 'rot1': 37, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.805433', 'mgs': 0, 'depth': -0.369, 'time': 4.09, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.19, 'rot1': 44, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.902541', 'mgs': 0, 'depth': -0.522, 'time': 4.18, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.87, 'temp': 28.81, 'lipoC3S3': 12.19, 'rot1': 51, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:43.004839', 'mgs': 0, 'depth': -0.598, 'time': 4.28, 'pitch': 7.05, 'roll': -0.04}
