{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.071502', 'mgs': 0, 'depth': -0.751, 'time': 2.92, 'pitch': 1.29, 'roll': 1.15}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.084566', 'mgs': 0, 'depth': -0.827, 'time': 3.01, 'pitch': 1.28, 'roll': 1.13}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.097592', 'mgs': 0, 'depth': -0.751, 'time': 3.11, 'pitch': 1.27, 'roll': 1.16}
{'lipoC2': 7.77, 'temp': 29.88, 'lipoC3S3': 12.19, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.104917', 'mgs': 0, 'depth': -0.751, 'time': 3.21, 'pitch': 1.26, 'roll': 1.14}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.19, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.117973', 'mgs': 0, 'depth': -0.827, 'time': 3.31, 'pitch': 1.26, 'roll': 1.15}
{'lipoC2': 7.77, 'temp': 29.88, 'lipoC3S3': 12.19, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.130929', 'mgs': 0, 'depth': -0.827, 'time': 3.4, 'pitch': 1.25, 'roll': 1.16}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.138225', 'mgs': 0, 'depth': -0.827, 'time': 3.5, 'pitch': 1.24, 'roll': 1.16}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.02, 'rot1': 5, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.151347', 'mgs': 0, 'depth': -0.751, 'time': 3.6, 'pitch': 1.24, 'roll': 1.16}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 13, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.164424', 'mgs': 0, 'depth': -0.751, 'time': 3.7, 'pitch': 1.24, 'roll': 1.14}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.17, 'rot1': 22, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.191058', 'mgs': 0, 'depth': -0.751, 'time': 3.79, 'pitch': 1.24, 'roll': 1.17}
