{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.882959', 'mgs': 0, 'depth': -0.064, 'time': 5.66, 'pitch': 0.84, 'roll': -3.76}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.981244', 'mgs': 0, 'depth': -0.14, 'time': 5.76, 'pitch': 0.85, 'roll': -3.72}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:26.075893', 'mgs': 0, 'depth': -0.064, 'time': 5.86, 'pitch': 0.84, 'roll': -3.76}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.175602', 'mgs': 0, 'depth': -0.14, 'time': 5.95, 'pitch': 0.84, 'roll': -3.68}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:26.272655', 'mgs': 0, 'depth': -0.14, 'time': 6.05, 'pitch': 0.85, 'roll': -3.71}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.369690', 'mgs': 0, 'depth': -0.064, 'time': 6.15, 'pitch': 0.84, 'roll': -3.7}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.467079', 'mgs': 0, 'depth': -0.14, 'time': 6.24, 'pitch': 0.84, 'roll': -3.64}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.565271', 'mgs': 0, 'depth': -0.064, 'time': 6.34, 'pitch': 0.84, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.662262', 'mgs': 0, 'depth': -0.14, 'time': 6.44, 'pitch': 0.84, 'roll': -3.59}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.759320', 'mgs': 0, 'depth': -0.14, 'time': 6.54, 'pitch': 0.84, 'roll': -3.59}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:26.856894', 'mgs': 0, 'depth': -0.14, 'time': 6.64, 'pitch': 0.81, 'roll': -3.51}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 18:43:26.955450', 'mgs': 0, 'depth': -0.14, 'time': 6.73, 'pitch': 0.75, 'roll': -3.45}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:27.053591', 'mgs': 0, 'depth': -0.217, 'time': 6.83, 'pitch': 0.76, 'roll': -3.51}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:27.150708', 'mgs': 0, 'depth': -0.217, 'time': 6.93, 'pitch': 0.75, 'roll': -3.55}
