{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.093224', 'mgs': 0, 'depth': -0.293, 'time': 2.62, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.100449', 'mgs': 0, 'depth': -0.293, 'time': 2.72, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.112159', 'mgs': 0, 'depth': -0.293, 'time': 2.82, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.119362', 'mgs': 0, 'depth': -0.369, 'time': 2.92, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.131094', 'mgs': 0, 'depth': -0.293, 'time': 3.01, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.138321', 'mgs': 0, 'depth': -0.293, 'time': 3.11, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.150052', 'mgs': 0, 'depth': -0.293, 'time': 3.21, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.157262', 'mgs': 0, 'depth': -0.293, 'time': 3.31, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.169082', 'mgs': 0, 'depth': -0.369, 'time': 3.4, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.176370', 'mgs': 0, 'depth': -0.369, 'time': 3.5, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.188056', 'mgs': 0, 'depth': -0.293, 'time': 3.6, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.195240', 'mgs': 0, 'depth': -0.369, 'time': 3.7, 'pitch': -3.42, 'roll': -2.59}
